LOCATION,TIME,Value
Japan,2020-05,2.9
Japan,2020-06,2.8
Japan,2020-07,2.9
South Korea,2020-01,4.0
South Korea,2020-02,3.3
South Korea,2020-03,3.8
South Korea,2020-04,3.8
South Korea,2020-05,4.5
South Korea,2020-06,4.3
South Korea,2020-07,4.2
Luxembourg,2020-01,5.7
Luxembourg,2020-02,5.8
Luxembourg,2020-03,6.5
Luxembourg,2020-04,7.5
Luxembourg,2020-05,7.7
Luxembourg,2020-06,7.7
Luxembourg,2020-07,7.3
Mexico,2020-01,3.6281199999999996
Mexico,2020-02,3.6099349999999997
Mexico,2020-03,3.267292
Mexico,2020-04,4.7
Mexico,2020-05,4.2
Mexico,2020-06,5.5
Netherlands,2020-01,3.0
Netherlands,2020-02,2.9
Netherlands,2020-03,2.9
Netherlands,2020-04,3.4
Netherlands,2020-05,3.6
Netherlands,2020-06,4.3
Netherlands,2020-07,4.5
Norway,2020-01,3.7
Norway,2020-02,3.5
Norway,2020-03,3.6
Norway,2020-04,4.1
Norway,2020-05,4.6
Norway,2020-06,5.2
Poland,2020-01,3.0
Poland,2020-02,3.0
Poland,2020-03,3.0
Poland,2020-04,3.1
Poland,2020-05,3.3
Poland,2020-06,3.3
Poland,2020-07,3.2
Portugal,2020-01,6.8
Portugal,2020-02,6.4
Portugal,2020-03,6.2
Portugal,2020-04,6.3
Portugal,2020-05,5.9
Portugal,2020-06,7.3
Portugal,2020-07,8.1
Slovakia,2020-01,6.1
Slovakia,2020-02,6.1
Slovakia,2020-03,5.8
Slovakia,2020-04,6.4
Slovakia,2020-05,6.5
Slovakia,2020-06,6.6
Slovakia,2020-07,6.8
Spain,2020-01,13.8
Spain,2020-02,13.6
Spain,2020-03,14.5
Spain,2020-04,15.3
Spain,2020-05,15.4
Spain,2020-06,15.8
Spain,2020-07,15.8
Sweden,2020-01,7.2
Sweden,2020-02,7.6
Sweden,2020-03,6.8
Sweden,2020-04,7.9
Sweden,2020-05,8.5
Sweden,2020-06,9.2
Sweden,2020-07,9.2
Turkey,2020-01,12.6
Turkey,2020-02,12.6
Turkey,2020-03,12.9
Turkey,2020-04,13.6
Turkey,2020-05,14.0
United Kingdom,2020-01,3.9
United Kingdom,2020-02,3.9
United Kingdom,2020-03,3.8
United Kingdom,2020-04,3.9
United Kingdom,2020-05,3.8
United States,2020-01,3.6
United States,2020-02,3.5
United States,2020-03,4.4
United States,2020-04,14.7
United States,2020-05,13.3
United States,2020-06,11.1
United States,2020-07,10.2
Chile,2020-01,8.095886
Chile,2020-02,8.170632000000001
Chile,2020-03,9.040819
Chile,2020-04,10.87142
Chile,2020-05,11.74416
Estonia,2020-01,4.7
Estonia,2020-02,4.7
Estonia,2020-03,4.8
Estonia,2020-04,6.0
Estonia,2020-05,7.0
Estonia,2020-06,8.0
Israel,2020-01,3.6268620000000005
Israel,2020-02,3.4356660000000003
Israel,2020-03,3.582504
Israel,2020-04,3.678443
Israel,2020-05,4.2652779999999995
Israel,2020-06,4.557169999999999
Israel,2020-07,4.607702
Slovenia,2020-01,4.2
Slovenia,2020-02,4.2
Slovenia,2020-03,4.3
Slovenia,2020-04,4.7
Slovenia,2020-05,4.8
Slovenia,2020-06,4.8
Slovenia,2020-07,4.7
Latvia,2020-01,7.0
Latvia,2020-02,7.0
Latvia,2020-03,7.2
Latvia,2020-04,8.2
Latvia,2020-05,8.7
Latvia,2020-06,8.9
Latvia,2020-07,9.0
Lithuania,2020-01,6.1
Lithuania,2020-02,6.3
Lithuania,2020-03,6.6
Lithuania,2020-04,7.8
Lithuania,2020-05,8.5
Lithuania,2020-06,8.8
Lithuania,2020-07,9.0
Colombia,2020-01,10.594710000000001
Colombia,2020-02,10.84331
Colombia,2020-03,12.19545
Colombia,2020-04,20.17478
Colombia,2020-05,21.21399
Colombia,2020-06,20.82111
Colombia,2020-07,19.7451
